id,snapshot_date,snapshot_batch,source_table,recorded_at,security,total_bid,total_ask,diff_percent,ppl_dominance,total_bid_splits,total_ask_splits,top_bid_qty,top_bid_price,current_bid_price,created_at
2585,2025-12-18,01,bid_vs_ask_2025_12_18_01,"2025-12-18 10:08:05",VPEL.N0000,573041,569876,0.5523,9.09,54,45,107996,14.5,15.2,"2026-01-04 01:43:55"
2586,2025-12-18,01,bid_vs_ask_2025_12_18_01,"2025-12-18 10:08:05",CITW.N0000,13058023,13007045,0.3904,-22.68,150,238,10084006,1.9,2,"2026-01-04 01:43:55"
2587,2025-12-18,01,bid_vs_ask_2025_12_18_01,"2025-12-18 10:08:05",ACL.N0000,50977,50813,0.3217,40.54,52,22,38477,250,252,"2026-01-04 01:43:55"
2588,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",SLND.N0000,33,3,90.9091,40,7,3,25,1500,1715.25,"2026-01-04 01:43:55"
2589,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",HASU.N0000,146808,19037,87.0327,22.22,22,14,2186,99,99.5,"2026-01-04 01:43:55"
2590,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",NTB.N0000,121445,16105,86.7389,33.33,24,12,6051,293,296,"2026-01-04 01:43:55"
2591,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",JKH.N0000,4902041,925377,81.1226,83.98,333,29,2226908,20.7,21.2,"2026-01-04 01:43:55"
2592,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",SAMP.N0000,475654,105542,77.8112,65.14,180,38,84751,140,142,"2026-01-04 01:43:55"
2593,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",TESS.N0000,6635575,2377120,64.1761,0.67,75,74,2973766,1.3,1.4,"2026-01-04 01:43:55"
2594,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",DIST.N0000,93764,36308,61.2772,5.56,19,17,520,56.8,57.7,"2026-01-04 01:43:55"
2595,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",ELPL.N0000,23870,10374,56.5396,15.15,19,14,2683,160,161.75,"2026-01-04 01:43:55"
2596,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",CLND.N0000,119388,55835,53.2323,-6.67,14,16,69727,44,45.5,"2026-01-04 01:43:55"
