id,recorded_at,security,total_bid,total_ask,diff_percent,ppl_dominance,total_bid_splits,total_ask_splits,top_bid_qty,top_bid_price,current_bid_price
48,"2026-01-05 12:10:24",MADU.N0000,87812,80327,8.5200,42.3700,42,17,25400,11.500000,11.700000
49,"2026-01-05 12:10:24",TJL.N0000,240656,222234,7.6500,70.2400,143,25,48982,34.000000,34.300000
50,"2026-01-05 12:10:24",CERA.N0000,7695,7153,7.0400,-12.5000,14,18,1100,160.500000,170.250000
51,"2026-01-05 12:10:24",TAP.N0000,301906,281462,6.7700,24.5900,38,23,59032,40.500000,40.800000
52,"2026-01-05 12:10:24",CCS.N0000,66679,62247,6.6500,66.0700,93,19,18835,108.500000,109.000000
53,"2026-01-05 12:10:24",APLA.N0000,73166,69492,5.0200,-5.2600,27,30,3011,195.000000,196.000000
54,"2026-01-05 12:10:24",CTLD.N0000,72283,68876,4.7100,-6.9800,20,23,34500,38.000000,38.800000
55,"2026-01-05 12:10:24",COMB.N0000,173748,171577,1.2500,48.3000,109,38,23484,203.000000,203.250000
56,"2026-01-05 12:10:24",CIC.X0000,564263,560173,0.7200,16.5200,67,48,116517,26.000000,26.700000
57,"2026-01-05 12:10:24",WATA.N0000,258058,258096,-0.0100,-8.1100,34,40,29954,48.800000,48.900000
58,"2026-01-05 12:10:24",COMD.N0000,8258,8267,-0.1100,-4.0000,12,13,3600,260.000000,279.000000
59,"2026-01-05 12:10:24",BFL.N0000,216670,217089,-0.1900,-18.1800,18,26,10468,86.000000,89.000000
60,"2026-01-05 12:10:24",RPBH.N0000,6277,6328,-0.8100,11.1100,15,12,1300,58.900000,59.200000
61,"2026-01-05 12:10:24",JKL.N0000,7828,8089,-3.3300,3.2300,16,15,707,75.000000,84.400000
62,"2026-01-05 12:10:24",SEMB.N0000,56650086,58716809,-3.6500,-14.0300,285,378,33131236,0.600000,0.700000
63,"2026-01-05 12:10:24",SAMP.N0000,300792,313681,-4.2900,38.8500,218,96,13922,147.500000,148.750000
64,"2026-01-05 12:10:24",LHCL.N0000,26111,27682,-6.0200,40.9100,31,13,1508,104.250000,106.000000
65,"2026-01-05 12:10:24",BREW.N0000,345,369,-6.9600,0.0000,12,12,51,2515.000000,2515.000000
66,"2026-01-05 12:10:24",AFSL.N0000,17010,18322,-7.7100,12.0000,14,11,801,70.000000,71.500000
67,"2026-01-05 12:10:24",LVEF.N0000,3840810,4159407,-8.3000,28.2800,186,104,1051048,9.900000,10.600000
68,"2026-01-05 12:10:24",CTBL.N0000,185456,201260,-8.5200,30.4300,60,32,45712,8.800000,9.000000
69,"2026-01-05 12:10:24",PLC.N0000,289997,318360,-9.7800,54.9000,79,23,55321,24.600000,24.900000
70,"2026-01-05 12:10:24",PARA.N0000,290,326,-12.4100,-60.0000,3,12,250,155.250000,155.250000
71,"2026-01-05 12:10:24",COOP.N0000,8306063,9338443,-12.4300,-11.4100,163,205,3217911,4.400000,4.500000
72,"2026-01-05 12:10:24",HAYL.N0000,74190,83438,-12.4700,-12.5000,49,63,2282,197.500000,197.750000
73,"2026-01-05 12:10:24",WIND.N0000,117610,132298,-12.4900,35.4800,42,20,22956,46.500000,47.200000
74,"2026-01-05 12:10:24",CDB.X0000,13965,15723,-12.5900,6.9800,23,20,5000,298.000000,303.000000
75,"2026-01-05 12:10:24",KCAB.N0000,199691,225605,-12.9800,27.9100,55,31,72870,140.000000,142.500000
76,"2026-01-05 12:10:24",SHAW.N0000,7219,8226,-13.9500,-11.1100,12,15,1400,255.000000,260.000000
77,"2026-01-05 12:10:24",EAST.N0000,226654,268720,-18.5600,-23.8100,16,26,22500,67.000000,69.200000
78,"2026-01-05 12:10:24",COCO.N0000,138963,165363,-19.0000,-1.5900,31,32,36000,52.500000,54.200000
79,"2026-01-05 12:10:24",LIOC.N0000,184250,220902,-19.8900,11.3600,49,39,64263,128.000000,129.750000
80,"2026-01-05 12:10:24",HEXP.N0000,91169,109426,-20.0300,-10.0000,18,22,17574,95.000000,99.000000
81,"2026-01-05 12:10:24",ALLI.N0000,8455,10212,-20.7800,6.2500,17,15,803,374.750000,374.750000
82,"2026-01-05 12:10:24",LCBF.N0000,3268305,4000249,-22.4000,7.7800,90,77,1262965,8.000000,8.300000
83,"2026-01-05 12:10:24",PABC.N0000,223178,273285,-22.4500,27.2700,42,24,42962,60.000000,60.800000
84,"2026-01-05 12:10:24",KGAL.N0000,3801,4661,-22.6300,-15.1500,14,19,1600,135.000000,137.000000
85,"2026-01-05 12:10:24",LMF.N0000,280863,346416,-23.3400,-18.5200,33,48,31100,70.000000,70.300000
86,"2026-01-05 12:10:24",EBCR.N0000,79988,100094,-25.1400,8.5700,38,32,37934,66.000000,66.100000
87,"2026-01-05 12:10:24",HHL.N0000,697563,876223,-25.6100,70.9100,282,48,224446,34.500000,34.800000
88,"2026-01-05 12:10:24",LOFC.N0000,6831992,8583360,-25.6300,20.2400,297,197,3240331,5.500000,5.800000
89,"2026-01-05 12:10:24",GRAN.N0000,16994,21409,-25.9800,-11.1100,20,25,1618,415.000000,417.000000
90,"2026-01-05 12:10:24",RAL.N0000,4953359,6337803,-27.9500,-12.2300,140,179,1016936,12.000000,12.600000
91,"2026-01-05 12:10:24",SDB.N0000,111272,142573,-28.1300,-11.6300,19,24,103132,57.000000,57.500000
92,"2026-01-05 12:10:24",ACAP.N0000,442789,569544,-28.6300,17.5400,67,47,116540,6.500000,7.000000
93,"2026-01-05 12:10:24",BRWN.N0000,92402,119153,-28.9500,31.9100,31,16,3230,162.000000,165.000000
94,"2026-01-05 12:10:24",HNB.X0000,40586,52941,-30.4400,50.7200,52,17,10000,316.250000,319.000000
95,"2026-01-05 12:10:24",ATLL.N0000,20258,26695,-31.7800,47.0600,25,9,5200,35.000000,35.900000
96,"2026-01-05 12:10:24",HVA.N0000,779080,1027693,-31.9100,-5.4800,69,77,274779,3.300000,3.600000
97,"2026-01-05 12:10:24",AEL.N0000,404971,538807,-33.0500,14.8100,62,46,42597,76.000000,76.900000
