security,transformer_avg_score,transformer_last_score,buy_ratio,sell_ratio,hold_ratio,total_signals,transformer_momentum
AMF.N0000,0.34945484165285456,0.33662205934524536,0.0,0.9344262295081968,0.06557377049180328,61,Bearish
AMSL.N0000,0.37135807380956765,0.43280959129333496,0.0,0.7647058823529411,0.23529411764705882,17,Bearish
APLA.N0000,0.37476434260606767,0.36250531673431396,0.0,0.8,0.2,20,Bearish
ASCO.N0000,0.3751004834969838,0.4100516140460968,0.0,0.7142857142857143,0.2857142857142857,21,Bearish
ASHO.N0000,0.3578599296948489,0.373920738697052,0.0,0.9411764705882353,0.058823529411764705,34,Bearish
ASIR.N0000,0.3619522339311139,0.3396867513656616,0.0,0.8275862068965517,0.1724137931034483,29,Bearish
ASIY.N0000,0.378311973479059,0.4104871451854706,0.0,0.6111111111111112,0.3888888888888889,18,Bearish
ASPH.N0000,0.025539205377471858,0.025336522608995438,0.0,1.0,0.0,29,Bearish
ATL.N0000,0.34008504388233024,0.3860483765602112,0.0,0.625,0.375,24,Bearish
ATLL.N0000,0.3629008650779724,0.3551326394081116,0.0,0.9,0.1,20,Bearish
AUTO.N0000,0.31069310244761017,0.29566359519958496,0.0,1.0,0.0,19,Bearish
BALA.N0000,0.33615678208214894,0.3052399456501007,0.0,0.9428571428571428,0.05714285714285714,35,Bearish
BBH.N0000,0.34950650135676065,0.36608824133872986,0.0,0.9,0.1,30,Bearish
BERU.N0000,0.3411271848848888,0.33947211503982544,0.0,1.0,0.0,14,Bearish
BFL.N0000,0.3836580100986693,0.3536004424095154,0.0,0.7222222222222222,0.2777777777777778,18,Bearish
BFN.N0000,0.3620172966929043,0.3987404704093933,0.0,0.7058823529411765,0.29411764705882354,17,Bearish
BIL.N0000,0.09710885054971043,0.03781387582421303,0.0,1.0,0.0,19,Bearish
BOGA.N0000,0.3693251960417804,0.35920679569244385,0.0,0.8823529411764706,0.11764705882352941,17,Bearish
BOPL.N0000,0.35027662492715395,0.3729379177093506,0.0,0.9230769230769231,0.07692307692307693,26,Bearish
BPPL.N0000,0.3551197859548753,0.38051214814186096,0.0,1.0,0.0,31,Bearish
BREW.N0000,0.3630280534426371,0.40169981122016907,0.0,0.7333333333333333,0.26666666666666666,15,Bearish
