security,regime,signal_kmeans,score_x,model_x,score_y,signal_classifier,model_y,transformer_avg_score,transformer_last_score,buy_ratio,sell_ratio,hold_ratio,total_signals,transformer_momentum,signal_transformer,final_signal
ABL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3752487066756638,SELL,classifier,0.3584602500711168,0.3317312896251678,0.0,1.0,0.0,35,Bearish,SELL,🔻 SELL
ATL.N0000,🛑 Panic Crash,SELL,,kmeans,0.3945593653559299,SELL,classifier,0.3653054781258106,0.3512227833271026,0.0,1.0,0.0,40,Bearish,SELL,🔻 SELL
BREW.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3805289336729345,SELL,classifier,0.3687478167315324,0.3890431821346283,0.0,1.0,0.0,24,Bearish,SELL,🔻 SELL
STAF.N0000,🛑 Panic Crash,SELL,,kmeans,0.3908564006442446,SELL,classifier,0.3581375584409043,0.3662912547588348,0.0,1.0,0.0,37,Bearish,SELL,🔻 SELL
CIC.N0000,🛑 Panic Crash,SELL,,kmeans,0.3719928785917628,SELL,classifier,0.3486628844294437,0.3462538719177246,0.0,1.0,0.0,43,Bearish,SELL,🔻 SELL
PAP.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3377898488965042,SELL,classifier,0.3650488220155239,0.3442302048206329,0.0,1.0,0.0,32,Bearish,SELL,🔻 SELL
KHC.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3740350397481701,SELL,classifier,0.3651569187641144,0.3419260382652282,0.0,1.0,0.0,34,Bearish,SELL,🔻 SELL
NDB.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3916006461906524,SELL,classifier,0.3469491618020194,0.3314997851848602,0.0,1.0,0.0,35,Bearish,SELL,🔻 SELL
LLUB.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.4060463835393563,HOLD,classifier,0.3600315207784826,0.3430120646953583,0.0,1.0,0.0,33,Bearish,SELL,⚖️ HOLD
MEL.N0000,🛑 Panic Crash,SELL,,kmeans,0.3566181013409347,SELL,classifier,0.3753328556194901,0.3813681006431579,0.0,0.90625,0.09375,32,Bearish,SELL,🔻 SELL
ALUM.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3637465625091344,SELL,classifier,0.351602533688912,0.3253902792930603,0.0,1.0,0.0,39,Bearish,SELL,🔻 SELL
KOTA.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3170254983303944,SELL,classifier,0.3555297181010246,0.3429058790206909,0.0,1.0,0.0,32,Bearish,SELL,🔻 SELL
CRL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3488086060801606,SELL,classifier,0.3705060369438595,0.3108580708503723,0.0,0.9555555555555556,0.0444444444444444,45,Bearish,SELL,🔻 SELL
HELA.N0000,🛑 Panic Crash,SELL,,kmeans,0.4201248445954036,HOLD,classifier,0.2351873387631617,0.276936799287796,0.0,1.0,0.0,38,Bearish,SELL,🔻 SELL
COCR.N0000,🛑 Panic Crash,SELL,,kmeans,0.3655819010533535,SELL,classifier,0.3463306749189222,0.3305574953556061,0.0,1.0,0.0,37,Bearish,SELL,🔻 SELL
MERC.N0000,🛑 Panic Crash,SELL,,kmeans,0.3938864118943591,SELL,classifier,0.3396268491783449,0.3384985327720642,0.0,1.0,0.0,62,Bearish,SELL,🔻 SELL
CDB.X0000,🐳 Whale Accumulation,BUY,,kmeans,0.3465533394087942,SELL,classifier,0.3687372252796635,0.3545291721820831,0.0,1.0,0.0,33,Bearish,SELL,🔻 SELL
VLL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3629655477621761,SELL,classifier,0.3566604996549672,0.3387160897254944,0.0,0.9310344827586208,0.0689655172413793,29,Bearish,SELL,🔻 SELL
NAMU.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3460641676406553,SELL,classifier,0.3571054438749949,0.371427834033966,0.0,0.9285714285714286,0.0714285714285714,42,Bearish,SELL,🔻 SELL
UBC.N0000,🛑 Panic Crash,SELL,,kmeans,0.297211197811407,SELL,classifier,0.3615461800779615,0.3739450573921203,0.0,1.0,0.0,42,Bearish,SELL,🔻 SELL
JETS.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3432230703274168,SELL,classifier,0.3518849057810647,0.3336279690265655,0.0,1.0,0.0,35,Bearish,SELL,🔻 SELL
RCL.N0000,🛑 Panic Crash,SELL,,kmeans,0.321474872250631,SELL,classifier,0.366562495336813,0.3240459263324737,0.0,1.0,0.0,34,Bearish,SELL,🔻 SELL
VPEL.N0000,🛑 Panic Crash,SELL,,kmeans,0.3287365647590233,SELL,classifier,0.3423587693108452,0.3287238180637359,0.0,1.0,0.0,45,Bearish,SELL,🔻 SELL
WAPO.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3937143543433461,SELL,classifier,0.3759086368715061,0.34088996052742,0.0,0.9117647058823528,0.088235294117647,34,Bearish,SELL,🔻 SELL
ASHO.N0000,🛑 Panic Crash,SELL,,kmeans,0.433917577835446,HOLD,classifier,0.3670199257135391,0.3771776258945465,0.0,0.98,0.02,50,Bearish,SELL,🔻 SELL
VFIN.N0000,🛑 Panic Crash,SELL,,kmeans,0.3702083178432099,SELL,classifier,0.3412730337485023,0.3278189301490783,0.0,1.0,0.0,46,Bearish,SELL,🔻 SELL
PACK.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3121452568746684,SELL,classifier,0.3571577429771423,0.3403654098510742,0.0,1.0,0.0,40,Bearish,SELL,🔻 SELL
HARI.N0000,🛑 Panic Crash,SELL,,kmeans,0.3759277603330894,SELL,classifier,0.352371735232217,0.352774053812027,0.0,1.0,0.0,49,Bearish,SELL,🔻 SELL
SCAP.N0000,🛑 Panic Crash,SELL,,kmeans,0.2689516744467705,SELL,classifier,0.308656352035927,0.2848820686340332,0.0,1.0,0.0,33,Bearish,SELL,🔻 SELL
