id,recorded_at,security,total_bid,total_ask,diff_percent,ppl_dominance,total_bid_splits,total_ask_splits,top_bid_qty,top_bid_price,current_bid_price
270,"2026-01-13 12:45:56",COCR.N0000,26607,319040,-1099.0800,40.6300,45,19,6098,133.500000,133.750000
271,"2026-01-13 12:45:56",CHMX.N0000,12023,148728,-1137.0300,11.1100,20,16,3150,170.000000,182.250000
272,"2026-01-13 12:45:56",CDB.N0000,1905,23969,-1158.2200,-16.1300,13,18,1000,363.000000,385.000000
273,"2026-01-13 12:45:56",TRAN.N0000,3590,47022,-1209.8100,0.0000,14,14,1950,58.000000,58.200000
274,"2026-01-13 12:45:56",SDB.N0000,18375,245376,-1235.3800,-25.5800,16,27,15810,64.000000,64.100000
275,"2026-01-13 12:45:56",CTBL.N0000,94318,1260056,-1235.9700,-25.7700,36,61,20496,9.000000,9.700000
276,"2026-01-13 12:45:56",PEG.N0000,3311,44616,-1247.5100,-16.1300,13,18,1200,40.000000,46.100000
277,"2026-01-13 12:45:56",COLO.N0000,18176,266403,-1365.6900,21.4300,17,11,3100,57.000000,58.000000
278,"2026-01-13 12:45:56",HSIG.N0000,4784,79460,-1560.9500,38.8900,25,11,910,96.000000,97.600000
279,"2026-01-13 12:45:56",SINH.N0000,92775,1548760,-1569.3700,-43.1800,25,63,12600,11.000000,11.100000
280,"2026-01-13 12:45:56",VLL.X0000,4642,80873,-1642.2000,6.6700,16,14,2156,19.300000,19.500000
281,"2026-01-13 12:45:56",LITE.N0000,5338,102366,-1817.6800,14.2900,20,15,2005,54.000000,56.800000
282,"2026-01-13 12:45:56",RICH.N0000,15699,344485,-2094.3100,19.2300,31,21,3250,40.000000,40.700000
283,"2026-01-13 12:45:56",CFLB.N0000,4834,106536,-2103.8900,30.2300,28,15,739,78.000000,79.000000
284,"2026-01-13 12:45:56",CINS.N0000,253,13014,-5043.8700,-4.7600,10,11,58,3200.000000,3230.000000
285,"2026-01-13 12:45:56",SPEN.N0000,4499,319157,-6993.9500,-5.2600,18,20,1000,159.000000,160.000000
